score,aw_title,title
0.5833333333333333, T:Toy Story,Toy Story
0.6, T:Jumanji,Jumanji
0.6842105263157895, T:Grumpier Old Men,Grumpier Old Men
0.75, T:Waiting to Exhale,Waiting to Exhale
0.5185185185185186, T:Father of the Bride,Father of the Bride Part II
0.4285714285714286, T:Heat,Heat
0.6, T:Sabrina,Sabrina
0.4285714285714286, T:Tom and Viv,Tom and Huck
0.625, Tm:Sudden Death,Sudden Death
0.5384615384615384, T:GoldenEye ,GoldenEye
0.5454545454545454, T:The American Friend,The American President
0.40740740740740744, Tm:Hot Lead and Cold Feet,Dracula: Dead and Loving It
0.36363636363636365, T:Palmetto,Balto
0.5, T:Nixon,Nixon
0.5, T:The Island,Cutthroat Island
0.5555555555555556, T:Casino,Casino
0.33333333333333337, T:Min and Bill,Sense and Sensibility
0.4, T:Four Mothers,Four Rooms
0.4, Tm:The Natural,Ace Ventura: When Nature Calls
0.6428571428571428, T:Money Train,Money Train
0.6153846153846154, T:Get Shorty,Get Shorty
0.5, T:Copy Cat ,Copycat
0.6666666666666667, T:Assassins,Assassins
0.5555555555555556, T:Powder,Powder
0.6666666666666667, T:Leaving Las Vegas ,Leaving Las Vegas
0.6, T:Othello,Othello
0.4285714285714286, T:Gold and the Woman,Now and Then
0.5, T:Repulsion,Persuasion
0.48, T:City of Lost Souls,The City of Lost Children
0.4736842105263158, T:Shanghai Express,Shanghai Triad
0.5555555555555556, T:Dangerous Money,Dangerous Minds
0.7058823529411764, T:Twelve Monkeys,Twelve Monkeys
0.5263157894736843, T:Woman of Courage,Wings of Courage
0.4285714285714286, T:Babe,Babe
0.4, T:Danton,Carrington
0.6842105263157895, T:Dead Man Walking,Dead Man Walking
0.5217391304347826, T:Till the End of Time,Across the Sea of Time
0.4285714285714286, T:Chapter Two,It Takes Two
0.6363636363636364, T:Clueless,Clueless
0.7307692307692308, T:Cry the Beloved Country,"Cry, the Beloved Country"
0.5, T:Richard III,Richard III
0.4347826086956522, T:The President's Lady,Dead Presidents
0.5454545454545454, T:Rotation,Restoration
0.5, T:Trial by Combat,Mortal Kombat
0.368421052631579, T:No Time for Love,To Die For
0.48275862068965514, T:An American Tail,How To Make An American Quilt
0.375, T:Seven,Se7en
0.4545454545454546, T:Phantasm,Pocahontas
0.4285714285714286, T:Home is Calling,When Night Is Falling
0.7142857142857143, T:The Usual Suspects,The Usual Suspects
0.47619047619047616, T:I Married an Angel,Guardian Angel
0.736842105263158, T:Mighty Aphrodite,Mighty Aphrodite
0.4666666666666667, T:American Pop,Lamerica
0.5294117647058824, Tm:The Big Trees,The Big Green
0.5, T:T:Georgia,Georgia
0.6551724137931034, T:Knights of the Round Table,Kids of the Round Table
0.5238095238095238, T:One for the Road,Home for the Holidays
0.6428571428571428, T:The Postman,The Postman
0.6, T:The Professionals,The Confessional
0.5, T:Man in The Dark,The Indian in the Cupboard
0.7058823529411764, T:Eye for an Eye,Eye for an Eye
0.33333333333333337, T:Her Husband's Affairs,Mr. Holland's Opus
0.2777777777777778, T:Journey to the Center of the Earth,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
0.33333333333333337, T:Port of Seven Seas,Two If by Sea
0.3846153846153846, T:Videodrome,Bio-Dome
0.38235294117647056, T:They Came from Beyond Space,Lawnmower Man 2: Beyond Cyberspace
0.4285714285714286, T:Two Sisters,Two Bits
0.4, T:French Leave,French Twist
0.41666666666666663, T:Rainy Day,Friday
0.5, T:From Dusk to Dawn,From Dusk Till Dawn
0.5833333333333333, T:Fair Game,Fair Game
0.5, T:Carry On Screamming,Kicking and Screaming
0.7058823529411764, T:Les Miserables,Les Miserables
0.6666666666666667, T:Bed Of Roses,Bed of Roses
0.3571428571428571, T:Raging Bull,Big Bully
0.5833333333333333, T:Streamers,Screamers
0.3125, T:Capricorn One,Nico Icon
0.7142857142857143, T:The Crossing Guard,The Crossing Guard
0.5833333333333333, T:The Juror,The Juror
0.47619047619047616, T:The Yellow Balloon,The White Balloon
0.7857142857142857, T:Things to do in Denver When You're Dead,Things to Do in Denver When You're Dead
0.7058823529411764, T:Antonia's Line,Antonia's Line
0.375, T:Once Upon A Time in the West,Once Upon a Time... When We Were Colored
0.8, T:Last summer in the Hamptons,Last Summer in the Hamptons
0.7619047619047619, T:Angels and Insects,Angels and Insects
0.6666666666666667, T:White Squall,White Squall
0.3529411764705882, T:On the Run,Dunston Checks In
0.5, T:The Black Sheep,Black Sheep
0.4444444444444444, T:Prince of Tides,Nick of Time
0.4117647058823529, T:The Teahouse of the August Moon,The Journey of August King
0.38888888888888884, T:Paris s'eveille,Mary Reilly
0.6799999999999999, T:A Vampire in Brooklyn ,Vampire in Brooklyn
0.7222222222222222, T:Beautiful Girls,Beautiful Girls
0.6666666666666667, T:Broken Arrow,Broken Arrow
0.6521739130434783, T:A Mid-Winter's Tale ,A Midwinter's Tale
0.4, T:Chained,La Haine
0.41666666666666663, T:Happiness,Shopping
0.4137931034482759, T:Hollywood Party,Heidi Fleiss: Hollywood Madam
0.5833333333333333, T:City Hall,City Hall
0.6875, T:Bottle Rocket,Bottle Rocket
0.33333333333333337, Tm:Tron,Mr. Wrong
0.3913043478260869, T:An Angel at my Table,Unforgettable
0.6875, T:Happy Gilmore,Happy Gilmore
0.7586206896551724, T:Bridges of Madison County,The Bridges of Madison County
0.4, T:Everybody does it,Nobody Loves Me
0.6363636363636364, T:Treasure Island,Muppet Treasure Island
0.4, T:Warlock,Catwalk
0.3928571428571429, T:A Lesson in Love,Headless Body in Topless Bar
0.6923076923076923, T:Braveheart,Braveheart
0.6428571428571428, T:Taxi Driver,Taxi Driver
0.7727272727272727, T:Rumble in the Bronx,Rumble in the Bronx
0.7, T:Before and After ,Before and After
0.3529411764705882, T:Mare Nostrum,Margaret's Museum
0.48, T:Lilies of the Field,Happiness Is in the Field
0.4285714285714286, T:A Man to Remember,Anne Frank Remembered
0.78125, T:The Young Poisoner's Handbook,The Young Poisoner's Handbook
0.6, T:If Lucy Fell,If Lucy Fell
0.40909090909090906, T:Mary Had a Little,Steal Big Steal Little
0.5384615384615384, T:On the Run,Race the Sun
0.6799999999999999, T:The Boys of St.Vincent,The Boys of St. Vincent
0.6666666666666667, T:Boomerang,Boomerang
0.75, T:Chungking Express,Chungking Express
0.5714285714285714, T:Star Maker,The Star Maker
0.8, T:Flirting with Disaster,Flirting with Disaster
0.34042553191489366, Tm:Escape from Alcatraz,The Neverending Story III: Escape from Fantasia
0.5925925925925926, T:The Silence of the Lambs,The Silences of the Palace
0.4666666666666667, T:Water's Edge,Jupiter's Wife
0.6666666666666667, T:Fire in the Sky,Pie in the Sky
0.3846153846153846, T:Angel Face,Angela
0.47058823529411764, T:Night Flight,Frankie Starlight
0.4285714285714286, T:Jade,Jade
0.33333333333333337, T:Keep Cool,Nueba Yol
0.3571428571428571, T:The In-Laws,Sonic Outlaws
0.7058823529411764, T:Down Periscope,Down Periscope
0.46875, T:The Trial of Joan of Arc,From the Journals of Jean Seberg
0.65, T:Woman of the Year,Man of the Year
0.4285714285714286, T:The Bible,The Neon Bible
0.5, T:Targets,Target
0.625, T:Up Close and Personal,Up Close & Personal
0.6666666666666667, T:The Birdcage,The Birdcage
0.4375, T:Virgin Island,Virgin Mary
0.7083333333333333, T:The Brothers McMullen,The Brothers McMullen
0.5454545454545454, T:Bad Boys,Bad Boys
0.4814814814814815, T:An Arabian Adventure,The Amazing Panda Adventure
0.76, T:The Basketball Diaries,The Basketball Diaries
0.46153846153846156, T:Pee-Wee's Big Adventure,An Awfully Big Adventure
0.4545454545454546, T:Saboteur,Amateur
0.6666666666666667, T:Apollo 13,Apollo 13
0.30000000000000004, T:Robbery,Rob Roy
0.5294117647058824, T:The Conviction,The Addiction
0.7058823529411764, T:Batman Forever,Batman Forever
