 PaP19, T:Oedipus Rex, Silvana Mangano, \Und, R:Jocasta, T:Oedipus Rex, D:Pasolini, PN:, SU:, prc, Dram, aw, Greece, B(Sophocles) 
 FZe1, T:Taming of the Shrew, Alan Webb, \Und, RU:, T:The Taming of the Shrew, D:Zefferelli, PN:, St:Columbia, \Tcol, Comd, H*, lc, B(Shakespeare) 
 RWa50, T:Young at Heart, Henry Stephenson, \Und, RU:, T:Young at Heart, D:Ri.Wallace, P:Selznick, St:Selznick, bnw, Romt, H***, , C(Leon Shamroy; AAN) M(Waxman; AAN) 
 HoC10, TZ:Captain Scarlett, Richard Greene, \Und, RU:, Tm:Captain Scarlett, D:Carr, PN:Howard Dimsdale, St:U.A., \Tcol, Advt, H, lc, 
 SLw10, T:A Certain Sacrifice, Madonna, \Und," R:nude, attacked ""Bruna""", T:A Certain Sacrifice, D:Lewicki, PN:, SU:, prc, Porn, aw, lc, Er(1981) 
 NoL20, T:Chamber of Horrors, Lilli Palmer, \Vic, R:victim-to-be
 MN2, T:The Graduate, Richard Dreyfuss, \Und, R:Berkeley student, T:The Graduate, D:M.Nichols, P:Turman," St:U.A., Embassy", \Tcol, Comd," F19, AA dir, H***", ," VT() W(Calder Willingham, Henry; AAN) C(Surtees; AAN) M(Paul Simon, Dave Grusin) "
 AL14, T:Confessions of a Nazi Spy, Sig Rumann, \Und, RU:, T:Confessions of a Nazi Spy, D:Litvak, PN:Robert Lord, St:Warners, bnw, , H***, lc, 
 CEa21, T:True Crime, Dina Ruiz, \Und, R:TV reporter, T:True Crime, D:Eastwood," PN:Richard D. Zanuck, Lili Fni Zanuck"," St:Malpaso, SD:Warners", prc, Susp, ," prison, CA; Oakland, CA", 
 RWi13, T:The Day the Earth Stood Still, Billie Gray, \Und, R:widow's son, T:The Day the Earth Stood Still, D:R.Wise, P:Cacoynnis, St:Fox, bnw, ScFi, (H**)," Washington, DC", R(G) M(Bernard Herrmann) 
 CDM13, T:The Goose Girl, Marguerite Clark, \Und, RU:, T:The Goose Girl, D:DeMille, PN:, SU:, prc, Ctxx, aw, lc, 
 MS30, T:Casino, Don Rickles, \Und, RU:, T:Casino, D:Scorsese , PU:, SU:, col, Dram, aw," Las Vegas, NV", 
 AkK2, T:The Most Beautiful, Yoko Yaguchi, \Und, RU:, T:The Most Beautiful, D:Kurosawa, PU:, SU:, prc, Ctxx, , lc, 
 MSt53, TZ:The Temptress, Manay Duras, \Und," R:head of outlaws ""Salo Mano""", T:The Temptress, D:M.Stiller, PN:, St:MGM, bws, Dram, H*," Paris, Francs; csd, Argentinia"," W(Dorothy Farnum) CoD(Niblo, Humberstone) Seen(15Apr1990) (Dod(garbo)) "
 JD7, T:Brute Force, Yvonne deCarlo, \Und, RU:, T:Brute Force, D:Dassin, P:Hellinger, St:U-I, bnw, Actn, H**, , W(R.Brooks) M(Rozsa) 
 Z5420, T:Running Hot, Eric Stoltz, \Und, RU:, T:Running Hot, D:Unknown54, PN:, SU:, prc, Ctxx, aw, lc, Er(19xx) 
 Z9880, T:Permanent Midnight, Ben Stiller, \Und, RU:, T:Permanent Midnight, D:UnYear98, PU:, SU:, prc, Ctxx, , lc, 
 SE25," T:Ivan the Terrible, part I", Vsevolod Pudovkin, \Und, RU:," T:Ivan the Terrible, part I", D:Eisenstein, P:Eisenstein, SL:USA," col,bnw", BioP," H**, W50"," Moscow, USSR", M(Prokofiev) W(Eisenstein) Alt(T:Ivan Groznyi; USSR)
 ByB10, T:Fords on Water, Jason Rose, \Und, RU:, T:Fords on Water, D:Bliss, PN:, SU:, TV, Dram, aw, \GB, 
 WvD56, T:San Francisco, Jessie Ralph, \Und, RU:
 HKo36, T:My Man Godfrey, Martha Hyer, \Und, RU:, T:My Man Godfrey, D:Koster, PN:R.Hunter, St:Universal," \Ecol, CS", Comd, , , 
 IHc10, TZ:Bang the Drum Slowly, Vincent Gardenia, \Und, RU:, T:Bang the Drum Slowly, D:Hancock, PN:, SU:, prc, CTxx, aw, lc, R(PG) 
 JD16, T:Phaedra, Olympia Papadouka, \Und, RU:, T:Phaedra, D:Dassin, PN:, SL:Greece, prc," Greece; Paris, France", B(Euripedes) 
 BFr10, T:The Myth of Fingerprints, Laurel Holloman, \Und, RU:, T:The Myth of Fingerprints, D:Freundlich, PU:, S:Sony, col, Dram, , N.E.; T(Thanksiving), 
 GuL10, T:Beru et ces Dames, s a, \Und," R:renter, murdered", T:Beru et ces Dames, D:Lefranc, PN:, SU:, prc, CnR, aw, lc, 
 DS9, T:Private Hell 36, Howard Duff, \Und, RU:, T:Private Hell 36, D:D.Siegel, PN:, SU:, prc, Ctxx, aw, lc, 
 HeW5, T:Cop and a Half, Norman D. Golden~II, \Und, R:kid, T:Cop and a Half, D:H.Winkler, PN:, SU:, col, CnR, aw, lc, 
 RHo10, T:Splash, John Candy, \Und, RU:, T:Splash, D:R.Howard, PN:Brian Grazer, St:Touchstone-Disney, \Tcol, Romt," F17,H*"," NYC, NY", Seen(1985) 
 PY25, T:Suspect, s a, \Und," R:involved judge, suicide", T:Suspect, D:Yates," PN:John Veitch, Daniel E. Sherkov", St:TriStar, col, Susp, RE**+," Washington, DC", Seen(11Nov1988) 
 WBe10, T:Dick Tracy, Dick vanDyke, \Und, RU:, T:Dick Tracy, D:Beatty, P:Beatty, St:Touchstone, col, Comd, , , R(PG) C(Vittorio Storaro) M(Steven Sondheim) 
 KHu21, TZ:Oh Alfie, Rula Lenska, \Und, RU:, Tm:Oh Alfie, D:K.Hughes, PN:Dugald Rankin, St:EMI, \Tcol," Romt,Porn", CG*, England," Ser(Alfie, 2?) Alt(T:Alfie Darling; \GB)"
 PGr12, T:Drowning By Numbers, Jason Edwards, \Und, RU:, T:Drowning By Numbers, D:Greenaway, PN:, SU:, prc," Noir, Comd", aw, lc, W(Greenaway) 
 CTK10, T:Three Ninjas Kick Back, Sab Shimono, \Und, RU:, T:Three Ninjas Kick Back, D:Kanganis," PN:James kang, Martha Chang, Arthur leeds", St:Tristar, col, Actn, aw, Japan, R(PG) 
 RoA23, T:Whatever happened to Baby Jane?, Anna Lee, \Und, RU:, T:Whatever Happened to Baby Jane?, D:Aldrich, P:Aldrich, St:Warners, bnw, , H*," Hollywood, CA", CoD(Ernst Haller; AAN) B(Henry Farrell) Seen(1962) 
 AMD13, TZ:The Stranger and the Gunfighter, Lo Lieh, \Und, RU:, Tm:The Stranger and the Gunfighter, D:Dawson, PN:, SU:, prc, Ctxx, aw, lc, R(PG) B(Barth Jules Sussman) Er(1982?) 
 HBH60, T:She's Working Her Way Through College, Roland Winters, \Und, RU:, T:She's Working Her Way Through College, D:Humberstone, PN:William Jacobs, St:Warners, col, Comd, aw," college, USA", 
 CoB3, T:The Years Between, Edward Rigby, \Und, RU:, T:The Years Between, D:Bennett, PN:Sidney Box, St:GFD, bnw, Romt, H, lc, B(Daphne duMaurier) 
 Z0210, T:Romeo and Juliet, Florence Lawrence, \Und," R:love ""Juliet""", T:Romeo and Juliet, D:Unknown2, PN:, SL:USA, bws, Romt, aw, lc, 
 IgR10, T:The Bachelor and the Bobbysoxer, Don Beddoe, \Und, RU:, T:The Bachelor and the Bobbysoxer, D:Reis, P:Schary, St:RKO, bnw, , H***, , W(S.Sheldon) 
 RTh26, T:Challenge to Lassie, s a, \Ani," R:dog ""Lassie""", T:Challenge to Lassie, D:F.M.Wilcox, PN:, St:MGM, bnw, , , , Ser(Lassie; 6) 
 HGC17, T:Les Diaboliques, Paul Meurisse, \Vic," R:headmaster, to be murdered", T:Les Diaboliques, D:Clouzot, PN:, SU:, , Noir, ," school, province, France"," B(Boileau, narcejac ""'Celle qui n'etait plus') "
 CsS10, T:Where Angels Fear to Tread, Barbara Jefford, \Und, RU:, T:Where Angels Fear to Tread, D:Sturridge, PN:Derek Granger, St:Sovereign, col, Romt, aw," England; Tuscany, Italy", 
 YZh," T:East Palace, West Palace", Si Han, \Und," R:gay Chinese ""A-Lan"""
 JdL12, T:The Letter, Irene Browne, \Und, RU:, T:The Letter, D:deLimur, PN:, St:Paramount, bnw, Dram, H*, Far East, B(Somerset Maugham) 
 MRs36, T:The Prize, Michelin Presle, \Und, RU:, T:The Prize, D:Robson, P:Berman, St:MGM, \Mcol, Susp, H***, , W(E.Lehman) B(Irving Wallace) C(William daniels) M(Jerry Goldsmith) 
 DM101, T:The Vanishing Lady, Maurice Marsac, \Und, RU:, T:The Vanishing Lady, D:Medford, P:Hitchcock," St:Shamley, CBS"," bnw,TV", Susp, ," Paris, France; T(1899)", TV(30Oct1955) Le(30m) W(M.Cockrell) B(Alexander Woollcott) VT(N:HQ7; end only) 
 ISR30, T:Our Little Girl, Erin OBrienMoore, \Und, RU:, T:Our Little Girl, D:Robertson, PN:Edward Butcher, St:Fox, bnw, Horr, 
 RoW10, TZ:Anna to the Infinite Power, Jack Gilford, \Und, RU:, Tm:Anna to the Infinite Power, D:Wiemer, PN:, SU:, prc, ScFi, aw, lc, W(Wiemer) B(Mildred Ames)  Topic(cloning)
 ACj123, T:The Woman Who Wanted to Live, Charles Bronson, \Und, R:escaped convict, T:The Woman Who Wanted to Live, D:Crosland~jr, P:Hitchcock," St:Shamley,NBC"," bnw,TV", Susp, aw, , TV(6Feb1962) Le(30m) 
 NiG10, TZ:The Little Girl Who Lives Down the Lane, Scott Jacoby, \Und, RU:, Tm:The Little Girl Who Lives Down the Lane, D:Gessner, PN:, SU:, prc, CTxx, aw, lc, R(PG) 
 KLo46, T:Raining Stones, Ricky Tomlinson, \Und, R:sympathetic priest, T:Raining Stones, D:Loach, PN:, SU:, col," Docu, Dram", , England, 
 CBd10, TZ:Black Stallion, Hoyt Axton, \Und, RU:, Tm:Black Stallion, D:C.Ballard, PN:, SU:, prc, Ctxx, aw, lc, R(G) C(Deschanel) 
 CDM6, T:Rose of the Rancho, Bessie Barrisdale, \Und, RU:, T:Rose of the Rancho, D:DeMille, P:Lasky, St:Feature Play, bws, Dram, aw, lc, 
 EAy10, T:Goguktu Ve Yagmur Ciseliyorau, Gulsen Tuncer, \Und, R:sister of luitist, T:Goguktu Ve Yagmur Ciseliyorau, D:Ayca, PN:, SU:, prc, Romt, aw, lc, Lang(\Tu) Alt(T:It was Cold and Raining; USA)
 JIv11, TZ:Savages, Sam Waterston, \Und, RU:, Tm:Savages, D:Ivory, PN:Joseph Saleh, St:Angelika, pcol, Fant, H, lc, 
 EG24, T:Claudia, Reginald Gardiner, \Und, R:British nobleman, T:Claudia, D:E.Goulding, PN:W. Perlheim, St:Fox, prc, Ctxx, aw, lc, 
 FrT20, T:Rock a Bye Baby, Connie Stevens, \Und, RU:, T:Rock a Bye Baby, D:Tashlin, PN:Jerry Lewis, St:Paramount, \Tcol, Comd, H, , W(Tashlin) 
 RDu15, T:The Apostle, Jewell Jernigan, \Und, R:religious, T:The Apostle, D:Duvall, PU:, SD:October, col, Dram, aw," church, LA", W(Duvall) Cost(5M)
 DS33, T:Charley Varrick, Norman Fell, \Und, RU:, T:Charley Varrick, D:D.Siegel, P:D.Siegel, St:Universal, \Tcol, Susp, H**," junkyard, West", R(PG) Seen(28Jun1992)) 
 DpM10, T:Camilla, Graham Greene , \Und, RU:, T:Camilla, D:Mehta, PN:, SU:, prc, Romt, aw," beach, GA; Canada", 
